Depth,Loss,BIAS,VARIANCE
1,0.2948478260869566,0.28695652173913044,0.06784782608695653
2,0.2478913043478261,0.19130434782608696,0.15363043478260865
3,0.2408913043478261,0.20434782608695654,0.15184782608695652
4,0.23336956521739133,0.1782608695652174,0.14658695652173914
5,0.2431086956521739,0.16521739130434782,0.16406521739130434
6,0.24402173913043476,0.16521739130434782,0.1698913043478261
7,0.2528260869565217,0.15217391304347827,0.18356521739130435
8,0.26358695652173914,0.1608695652173913,0.19623913043478264
9,0.2685217391304348,0.16521739130434782,0.2032173913043478
10,0.27610869565217394,0.16956521739130434,0.21215217391304347
11,0.2817173913043478,0.1782608695652174,0.22228260869565217
12,0.2875,0.18695652173913044,0.2265869565217391
13,0.2898695652173913,0.1782608695652174,0.23047826086956522
14,0.2958043478260869,0.18695652173913044,0.2368913043478261
15,0.2934782608695652,0.19130434782608696,0.23373913043478264
16,0.295695652173913,0.1782608695652174,0.23713043478260873
17,0.29432608695652174,0.1826086956521739,0.23680434782608697
18,0.29456521739130437,0.18695652173913044,0.23621739130434782
19,0.29630434782608694,0.18695652173913044,0.23743478260869566
20,0.29630434782608694,0.18695652173913044,0.23704347826086955
