CV_Fold,Accuracy,Recall,Precision,FPR,ROC_AUC
1,67.5925925925926,59.45945945945946,52.38095238095239,28.169014084507037,65.6452226874762
2,74.07407407407408,56.75675675675676,63.63636363636363,16.901408450704224,69.92767415302626
3,76.85185185185185,70.27027027027027,65.0,19.718309859154925,75.27598020555767
4,76.63551401869158,72.97297297297297,64.28571428571429,21.42857142857143,75.77220077220078
5,71.96261682242991,67.56756756756756,58.139534883720934,25.71428571428571,70.92664092664094
6,75.0,64.86486486486487,63.1578947368421,19.718309859154925,72.57327750285498
7,74.07407407407408,72.97297297297297,60.0,25.352112676056336,73.81043014845832
8,69.44444444444444,67.56756756756756,54.347826086956516,29.5774647887324,68.99505138941758
9,75.70093457943925,62.16216216216216,65.71428571428571,17.14285714285714,72.5096525096525
10,73.83177570093457,59.45945945945946,62.857142857142854,18.571428571428573,70.44401544401545
11,80.55555555555556,64.86486486486487,75.0,11.267605633802813,76.79862961553103
12,71.29629629629629,64.86486486486487,57.14285714285714,25.352112676056336,69.75637609440426
13,75.0,72.97297297297297,61.36363636363637,23.943661971830988,74.51465550057101
14,74.76635514018692,64.86486486486487,63.1578947368421,19.999999999999996,72.43243243243244
15,66.35514018691589,59.45945945945946,51.162790697674424,30.000000000000004,64.72972972972973
16,76.85185185185185,64.86486486486487,66.66666666666666,16.901408450704224,73.98172820708032
17,68.51851851851852,51.35135135135135,54.285714285714285,22.535211267605636,64.40807004187286
18,69.44444444444444,70.27027027027027,54.166666666666664,30.98591549295775,69.64217738865625
19,75.70093457943925,75.67567567567568,62.22222222222222,24.28571428571429,75.69498069498069
20,73.83177570093457,62.16216216216216,62.16216216216216,19.999999999999996,71.0810810810811
21,77.77777777777779,67.56756756756756,67.56756756756756,16.901408450704224,75.33307955843168
22,67.5925925925926,45.94594594594595,53.125,21.126760563380287,62.40959269128283
23,75.0,70.27027027027027,61.904761904761905,22.535211267605636,73.86752950133231
24,70.09345794392523,45.94594594594595,58.620689655172406,17.14285714285714,64.4015444015444
25,78.50467289719626,78.37837837837837,65.9090909090909,21.42857142857143,78.47490347490347
0,71.73913043478261,65.06024096385542,60.0,24.489795918367353,70.28522252274404
